cell_id,Astrobatrachus kurichiyana,Beddomixalus bijui,Beduka amboli,Beduka koynayensis,Blaira ornata,Blaira rubigina,Clinotarsus curtipes,Duttaphrynus beddomii,Duttaphrynus brevirostris,Duttaphrynus melanostictus,Duttaphrynus microtympanum,Duttaphrynus parietalis,Duttaphrynus scaber,Euphlyctis cyanophlyctis,Euphlyctis jaladhara,Fejervarya limnocharis,Firouzophrynus hololius,Firouzophrynus stomaticus,Gegeneophis danieli,Gegeneophis goaensis,Gegeneophis pareshi,Gegeneophis ramaswamii,Gegeneophis seshachari,Ghatixalus asterops,Ghatixalus magnus,Ghatixalus variabilis,Hoplobatrachus crassus,Hoplobatrachus tigerinus,Hylarana aurantiaca,Hylarana bahuvistara,Hylarana caesari,Hylarana doni,Hylarana flavescens,Hylarana indica,Hylarana intermedia,Hylarana magna,Hylarana malabarica,Hylarana montana,Hylarana sreeni,Hylarana temporalis,Hylarana urbis,Ichthyophis beddomei,Ichthyophis davidi,Ichthyophis kodaguensis,Ichthyophis longicephalus,Ichthyophis tricolor,Indirana beddomii,Indirana brachytarsus,Indirana chiravasi,Indirana duboisi,Indirana gundia,Indirana leithii,Indirana paramakri,Indirana salelkari,Indirana sarojamma,Indirana semipalmata,Indirana tysoni,Indirana yadera,Indotyphlus battersbyi,Kaloula pulchra,Melanobatrachus indicus,Mercurana myristicapalustris,Micrixalus adonis,Micrixalus candidus,Micrixalus elegans,Micrixalus frigidus,Micrixalus fuscus,Micrixalus gadgili,Micrixalus herrei,Micrixalus kodayari,Micrixalus kottigeharensis,Micrixalus kurichiyari,Micrixalus mallani,Micrixalus nelliyampathi,Micrixalus nigraventris,Micrixalus niluvasei,Micrixalus phyllophilus,Micrixalus sairandhri,Micrixalus sali,Micrixalus saxicola,Micrixalus silvaticus,Micrixalus specca,Micrixalus spelunca,Micrixalus thampii,Micrixalus uttaraghati,Microhyla kodial,Microhyla laterite,Microhyla nilphamariensis,Microhyla ornata,Microhyla rubra,Microhyla sholigari,Minervarya agricola,Minervarya brevipalmata,Minervarya cepfi,Minervarya gomantaki,Minervarya kadar,Minervarya kalinga,Minervarya keralensis,Minervarya krishnan,Minervarya mysorensis,Minervarya nilagirica,Minervarya pentali,Minervarya rufescens,Minervarya sahyadris,Minervarya syhadrensis,Mysticellus franki,Nasikabatrachus sahyadrensis,Nyctibatrachus acanthodermis,Nyctibatrachus aliciae,Nyctibatrachus anamallaiensis,Nyctibatrachus athirappillyensis,Nyctibatrachus beddomii,Nyctibatrachus danieli,Nyctibatrachus dattatreyaensis,Nyctibatrachus deccanensis,Nyctibatrachus gavi,Nyctibatrachus grandis,Nyctibatrachus humayuni,Nyctibatrachus jog,Nyctibatrachus karnatakaensis,Nyctibatrachus kempholeyensis,Nyctibatrachus kumbara,Nyctibatrachus major,Nyctibatrachus mewasinghi,Nyctibatrachus minimus,Nyctibatrachus minor,Nyctibatrachus petraeus,Nyctibatrachus poocha,Nyctibatrachus sanctipalustris,Nyctibatrachus shiradi,Nyctibatrachus sylvaticus,Nyctibatrachus tunga,Nyctibatrachus vasanthi,Nyctibatrachus vrijeuni,Pedostibes tuberculosus,Phrynoderma aloysii,Phrynoderma hexadactylum,Phrynoderma karaavali,Phrynoderma kerala,Phrynoderma konkani,Polypedates leucomystax,Polypedates maculatus,Polypedates occidentalis,Polypedates pseudocruciger,Pseudophilautus amboli,Pseudophilautus kani,Pseudophilautus leucorhinus,Pseudophilautus variabilis,Pseudophilautus wynaadensis,Raorchestes agasthyaensis,Raorchestes akroparallagi,Raorchestes anili,Raorchestes beddomii,Raorchestes blandus,Raorchestes bombayensis,Raorchestes chalazodes,Raorchestes charius,Raorchestes chlorosomma,Raorchestes chromasynchysi,Raorchestes coonoorensis,Raorchestes crustai,Raorchestes dubois,Raorchestes echinatus,Raorchestes flaviocularis,Raorchestes flaviventris,Raorchestes ghatei,Raorchestes glandulosus,Raorchestes griet,Raorchestes hassanensis,Raorchestes honnametti,Raorchestes indigo,Raorchestes jayarami,Raorchestes johnceei,Raorchestes kadalarensis,Raorchestes kaikatti,Raorchestes keirasabinae,Raorchestes leucolatus,Raorchestes luteolus,Raorchestes manohari,Raorchestes munnarensis,Raorchestes nerostagona,Raorchestes ochlandrae,Raorchestes ponmudi,Raorchestes ravii,Raorchestes resplendens,Raorchestes signatus,Raorchestes silentvalley,Raorchestes sushili,Raorchestes theuerkaufi,Raorchestes thodai,Raorchestes tinniens,Raorchestes travancoricus,Raorchestes tuberohumerus,Raorchestes uthamani,Rhacophorus lateralis,Rhacophorus malabaricus,Rhacophorus pseudomalabaricus,Sphaerotheca breviceps,Sphaerotheca dobsonii,Sphaerotheca maskeyi,Sphaerotheca pluvialis,Tamixalus calcadensis,Uperodon anamalaiensis,Uperodon globulosus,Uperodon montanus,Uperodon mormoratus,Uperodon systoma,Uperodon taprobanicus,Uperodon triangularis,Uperodon variegatus,Uraeotyphlus bombayensis,Uraeotyphlus gansi,Uraeotyphlus interruptus,Uraeotyphlus menoni,Uraeotyphlus narayani,Uraeotyphlus oxyurus,Walkerana diplosticta,Walkerana leptodactyla,Walkerana muduga,Walkerana phrynoderma
10.0_76.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.0_76.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.0_76.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0_76.60000000000001,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0_76.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0_76.80000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0_76.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0_77.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10.0_77.10000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0_77.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
